Alex,alesx@gmail.com,14,2022-03-16,1,B,3,6,Jl. Pramuka Raya,002,010,13420,31750323036980556,1,
Matrix,matrsixs@gmail.com,16,1998-03-18,1,B,104,4,Jl. Kebagusan Selatan,003,007,16161,31750332306980432,0,
Goldy,gosldy@gmail.com,11,2022-03-17,1,AB,5,3,Jl. Cipinang Elok 1,22,23,13420,31750323069830887,1,
Leonardo,leonsardo@gmail.com,14,2022-03-16,1,B,3,6,Jl. Budi Daya Raya,002,010,13420,31750323306980000,1,
Henry,hensry@gmail.com,16,1998-03-18,1,B,104,4,Jl. Pintu Belakang,003,007,16161,31750323063980654,0,
Sonia,ssonsia@gmail.com,11,2022-03-17,1,AB,5,3,Jl. Sinar Surya,22,23,13420,31750323069803567,1,
Abel,absel@gmail.com,14,2022-03-16,1,B,3,6,Jl. Keabadian Raya,002,010,13420,31750323069830111,1,
Derryl,dersryl@gmail.com,16,1998-03-18,1,B,104,4,Jl. Puja Pahlawan,003,007,16161,31750323306980198,0,
Apri,apsri@gmail.com,11,2022-03-17,1,AB,5,3,Jl. Tanah Abang Barat,22,23,13420,31750323069380907,1,	
Yudha,yusdha@gmail.com,11,2022-03-17,1,AB,5,3,Jl. Kemanggisan Utara,22,23,13420,31750323036980541,1,	
